,Launch Date,Mission,Data,Description
0,May 9,Falcon 9 • Starlink V1.0-L27,"Launch time: 0642 GMT (2:42 a.m. EDT) Launch site: SLC-40, Cape Canaveral Space Force Station, Florida","A SpaceX Falcon 9 rocket will launch the 27th batch of 60 satellites for SpaceX’s Starlink broadband network, a mission designated Starlink V1.0-L27. [May 4]"
1,May,GSLV Mk.2 • GISAT 1,"Launch time: TBD Launch site: Satish Dhawan Space Center, Sriharikota, India","India’s Geosynchronous Satellite Launch Vehicle Mk. 2 (GSLV Mk.2), designated GSLV-F10, will launch India’s first GEO Imaging Satellite, or GISAT 1. The GISAT 1 spacecraft will provide continuous remote sensing observations over the Indian subcontinent from geostationary orbit more than 22,000 miles (nearly 36,000 kilometers) above Earth. Delayed from Jan. 15, February and March 5, 2020. Delayed from March 28 and April 18. [April 26]"
2,May,Long March 7 • Tianzhou 2,"Launch time: TBD Launch site: Wenchang, China",A Chinese Long March 7 will launch the Tianzhou 2 resupply ship to dock with the Chinese space station. The automated cargo craft will be the first resupply freighter for the Chinese space station. [April 15]
3,May 15,Falcon 9 • Starlink V1.0-L27,"Launch time: 2258 GMT (6:58 p.m. EDT) Launch site: LC-39A, Kennedy Space Center, Florida","A SpaceX Falcon 9 rocket will launch the 28th batch of approximately 60 satellites for SpaceX’s Starlink broadband network, a mission designated Starlink V1.0-L26. [May 8]"
4,May 17,Atlas 5 • SBIRS GEO Flight 5,"Launch time: 1735 GMT (1:35 p.m. EDT) Launch site: SLC-41, Cape Canaveral Space Force Station, Florida","A United Launch Alliance Atlas 5 rocket will launch the U.S. Space Force’s fifth Space Based Infrared System Geosynchronous satellite, or SBIRS GEO 5, for missile early-warning detection. The rocket will fly in the 421 vehicle configuration with a four-meter fairing, two solid rocket boosters, and a single-engine Centaur upper stage. [May 8]"
5,May 27,Soyuz • OneWeb 7,"Launch time: TBD Launch site: Vostochny Cosmodrome, Russia","A Russian Soyuz rocket will launch 36 satellites into orbit for OneWeb, which is developing a constellation of hundreds of satellites in low Earth orbit for low-latency broadband communications. The Soyuz-2.1b rocket will use a Fregat upper stage. [April 26]"
6,TBD,Electron • STP-27RM,"Launch time: TBD Launch site: Launch Complex 2, Mid-Atlantic Regional Spaceport, Wallops Island, Virginia","A Rocket Lab Electron rocket will launch on its first mission from a new launch pad at the Mid-Atlantic Regional Spaceport at Wallops Island, Virginia. The launch customer is the U.S. Air Force, and the mission will launch an experimental mission for the Space Test Program called Monolith with a space weather instrument. The Monolith mission will demonstrate the ability of a small satellite to support large aperture payloads. Delayed from 2nd Quarter of 2019. Delayed from August 2020 and September 2020. Delayed from 4th Quarter of 2020. [Nov. 27]"
7,June 1,Falcon 9 • SXM 8,"Launch time: 0425 GMT (12:25 a.m. EDT) Launch site: SLC-40, Cape Canaveral, Florida","A SpaceX Falcon 9 rocket will launch the SXM 8 satellite for SiriusXM. The satellite will replenish SiriusXM’s fleet providing satellite radio programming to consumers across North America. SXM 8 was built by Maxar Technologies, and features a large unfurlable S-band reflector to broadcast radio signals to users on the ground. [March 31]"
8,June 3,Falcon 9 • SpaceX CRS 22,"Launch time: TBD Launch site: LC-39A, Kennedy Space Center, Florida",A SpaceX Falcon 9 rocket will launch a Dragon 2 spacecraft on its second cargo resupply mission to the International Space Station. The flight is the 22nd mission by SpaceX conducted under a Commercial Resupply Services contract with NASA. Delayed from March and May 20. [March 31]
9,June,Long March 2F • Shenzhou 12,"Launch time: TBD Launch site: Jiuquan, China","A Chinese Long March 2F rocket will launch the Shenzhou 12 spacecraft with multiple Chinese astronauts to rendezvous and dock with the Chinese space station in low Earth orbit. This will be China’s seventh crewed space mission, and the first to the Chinese space station. [April 15]"
10,June 17,Falcon 9 • GPS 3 SV05,"Launch period: 2200-0100 GMT on 17th/18th (6:00-9:00 p.m. EDT on 17th) Launch site: SLC-40, Cape Canaveral Space Force Station, Florida",A SpaceX Falcon 9 rocket will the U.S. Space Force’s fifth third-generation navigation satellite for the Global Positioning System. The satellite was built by Lockheed Martin. [April 15]
11,June 23,Atlas 5 • STP-3,"Launch time: TBD Launch site: SLC-41, Cape Canaveral Space Force Station, Florida","A United Launch Alliance Atlas 5 rocket will launch the STP-3 mission for the U.S. Space Force. The STP-3 rideshare mission will launch the STPSat 6 satellite and several small satellites. STPSat 6 hosts several payloads and experiments, including the National Nuclear Security Administration’s Space and Atmospheric Burst Reporting System-3 (SABRS-3) payload, and NASA’s Laser Communications Relay Demonstration (LCRD) experiment. The rocket will fly in the 551 vehicle configuration with a five-meter fairing, five solid rocket boosters, and a single-engine Centaur upper stage. Delayed from Feb. 26. [April 15]"
12,June,Minotaur 1 • NROL-111,"Launch window: TBD Launch site: Pad 0B, Wallops Island, Virginia","A U.S. Air Force and Northrop Grumman Minotaur 1 rocket will launch a classified spy satellite cargo for the U.S. National Reconnaissance Office. Delayed from December 2018, 2nd Quarter 2019, late 2019, and March 2021. [Feb. 23]"
13,June,Vega • Pléiades Neo 4,"Launch time: TBD Launch site: ZLV, Kourou, French Guiana","An Arianespace Vega rocket, designated VV19, will launch the Pléiades Neo 4 Earth observation satellite for Airbus. Pléiades Neo 4 is the second of four Pléiades Neo high-resolution Earth observation satellites built, owned, and operated by Airbus. The Vega rocket will also launch multiple rideshare payloads. Delayed from February after VV17 launch failure. [March 31]"
14,June 29,Soyuz • Progress 78P,"Launch time: TBD Launch site: Baikonur Cosmodrome, Kazakhstan",A Russian government Soyuz rocket will launch the 78th Progress cargo delivery ship to the International Space Station. The rocket will fly in the Soyuz-2.1a configuration. Delayed from March 19. [March 9]
15,July 1,Soyuz • OneWeb 8,"Launch time: TBD Launch site: Vostochny Cosmodrome, Russia","A Russian Soyuz rocket will launch 36 satellites into orbit for OneWeb, which is developing a constellation of hundreds of satellites in low Earth orbit for low-latency broadband communications. The Soyuz-2.1b rocket will use a Fregat upper stage. [April 26]"
